image,prime1,prime2,jaccard_raw,jaccard_lemmatized,cosine_similarity
000000001425.jpg,P0_Neutral,P2_Security,0.1532258064516129,0.05263157894736842,0.6206185221672058
000000001425.jpg,P0_Neutral,P3_Child,0.14583333333333334,0.0660377358490566,0.6317148208618164
000000001425.jpg,P0_Neutral,P4_Mobility,0.15789473684210525,0.0963855421686747,0.6042423844337463
000000001425.jpg,P0_Neutral,P5_Urgent,0.15730337078651685,0.045454545454545456,0.48822635412216187
000000001425.jpg,P0_Neutral,P6_Leisure,0.19230769230769232,0.10377358490566038,0.7956796884536743
000000001425.jpg,P1_Chef,P2_Security,0.1366906474820144,0.05555555555555555,0.5351430773735046
000000001425.jpg,P1_Chef,P3_Child,0.125,0.06722689075630252,0.5308526754379272
000000001425.jpg,P1_Chef,P4_Mobility,0.13953488372093023,0.08247422680412371,0.4757477343082428
000000001425.jpg,P1_Chef,P5_Urgent,0.14563106796116504,0.0375,0.3975093364715576
000000001425.jpg,P1_Chef,P6_Leisure,0.1564625850340136,0.12931034482758622,0.6307579278945923
000000001425.jpg,P2_Security,P3_Child,0.16417910447761194,0.061855670103092786,0.555458664894104
000000001425.jpg,P2_Security,P4_Mobility,0.17142857142857143,0.0945945945945946,0.5794039964675903
000000001425.jpg,P2_Security,P5_Urgent,0.189873417721519,0.05357142857142857,0.48345503211021423
000000001425.jpg,P2_Security,P6_Leisure,0.140625,0.049019607843137254,0.6017768383026123
000000001425.jpg,P3_Child,P4_Mobility,0.16,0.09302325581395349,0.44880080223083496
000000001425.jpg,P3_Child,P5_Urgent,0.1262135922330097,0.014084507042253521,0.39008113741874695
000000001425.jpg,P3_Child,P6_Leisure,0.1506849315068493,0.07142857142857142,0.6258522272109985
000000001425.jpg,P4_Mobility,P5_Urgent,0.10666666666666667,0.02040816326530612,0.41611891984939575
000000001425.jpg,P4_Mobility,P6_Leisure,0.13445378151260504,0.053763440860215055,0.5411396026611328
000000001425.jpg,P5_Urgent,P6_Leisure,0.10416666666666667,0.02702702702702703,0.3808172941207886
000000001490.jpg,P0_Neutral,P1_Chef,0.0,0.0,-0.037914909422397614
000000001490.jpg,P0_Neutral,P2_Security,0.14473684210526316,0.10833333333333334,0.8319518566131592
000000001490.jpg,P0_Neutral,P3_Child,0.10596026490066225,0.045454545454545456,0.5768452882766724
000000001490.jpg,P0_Neutral,P4_Mobility,0.13970588235294118,0.08823529411764706,0.5178833603858948
000000001490.jpg,P0_Neutral,P5_Urgent,0.13043478260869565,0.0963855421686747,0.5975186824798584
000000001490.jpg,P0_Neutral,P6_Leisure,0.09937888198757763,0.06060606060606061,0.4519556164741516
000000001490.jpg,P1_Chef,P2_Security,0.0,0.0,-0.012286381796002388
000000001490.jpg,P1_Chef,P3_Child,0.0,0.0,0.04232092201709747
000000001490.jpg,P1_Chef,P4_Mobility,0.0,0.0,0.04178660362958908
000000001490.jpg,P1_Chef,P5_Urgent,0.0,0.0,0.014576591551303864
000000001490.jpg,P1_Chef,P6_Leisure,0.0,0.0,0.03606636822223663
000000001490.jpg,P2_Security,P3_Child,0.11347517730496454,0.03773584905660377,0.6204606890678406
000000001490.jpg,P2_Security,P4_Mobility,0.1885245901639344,0.13978494623655913,0.6142590641975403
000000001490.jpg,P2_Security,P5_Urgent,0.1650485436893204,0.075,0.7283276319503784
000000001490.jpg,P2_Security,P6_Leisure,0.07741935483870968,0.046511627906976744,0.49338120222091675
000000001490.jpg,P3_Child,P4_Mobility,0.11290322580645161,0.03529411764705882,0.5730063319206238
000000001490.jpg,P3_Child,P5_Urgent,0.16494845360824742,0.0625,0.6284964084625244
000000001490.jpg,P3_Child,P6_Leisure,0.06666666666666667,0.008620689655172414,0.5403831601142883
000000001490.jpg,P4_Mobility,P5_Urgent,0.1744186046511628,0.10344827586206896,0.6077445149421692
000000001490.jpg,P4_Mobility,P6_Leisure,0.1044776119402985,0.056074766355140186,0.5023696422576904
